前項(購買A),後項(購買B),antecedent support,consequent support,支持度,信賴度,提升度,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"多線路服務, 無限資料下載",網路服務,0.31239092495637,0.7670157068062827,0.31239092495637,1.0,1.3037542662116042,1.0,0.07278217885109145,inf,0.3388324873096447,0.4072810011376564,1.0,0.7036405005688282
"多線路服務, 網路服務",無限資料下載,0.36300174520069806,0.662303664921466,0.31239092495637,0.8605769230769231,1.2993691091517179,1.0,0.0719735387370595,2.422097851597762,0.3616897528124284,0.43818849449204406,0.587134764460346,0.6661250886794365
多線路服務,"網路服務, 無限資料下載",0.41579406631762655,0.662303664921466,0.31239092495637,0.751311647429171,1.1343914992804083,1.0,0.03700899098160687,1.3579097355689573,0.202788289434707,0.40797720797720805,0.2635740257204909,0.6114924508555605
"多線路服務, 電話服務",無限資料下載,0.41579406631762655,0.662303664921466,0.31239092495637,0.751311647429171,1.1343914992804083,1.0,0.03700899098160687,1.3579097355689573,0.202788289434707,0.40797720797720805,0.2635740257204909,0.6114924508555605
"多線路服務, 無限資料下載",電話服務,0.31239092495637,0.9061954624781849,0.31239092495637,1.0,1.1035146846413095,1.0,0.029303686241544336,inf,0.13642131979695446,0.3447279730380357,1.0,0.6723639865190179
多線路服務,"電話服務, 無限資料下載",0.41579406631762655,0.5820244328097731,0.31239092495637,0.751311647429171,1.2908592922846027,1.0,0.07038861934218421,1.6807203187016293,0.3856897292651482,0.4557606619987269,0.405017010342025,0.6440216408060397
"多線路服務, 電影節目",網路服務,0.21771378708551484,0.7670157068062827,0.21771378708551484,1.0,1.3037542662116042,1.0,0.05072389280264614,inf,0.29782487451199113,0.2838452787258248,1.0,0.6419226393629124
"多線路服務, 網路服務",電視節目,0.36300174520069806,0.38219895287958117,0.21902268760907503,0.6033653846153846,1.5786683350895678,1.0,0.0802838006999077,1.5576074884975406,0.5754407029416579,0.41625207296849087,0.35798973272490214,0.5882123726729891
"多線路服務, 電視節目",網路服務,0.21902268760907503,0.7670157068062827,0.21902268760907503,1.0,1.3037542662116042,1.0,0.051028846065988676,inf,0.2983240223463686,0.285551763367463,1.0,0.6427758816837315
"多線路服務, 電話服務",網路服務,0.41579406631762655,0.7670157068062827,0.36300174520069806,0.8730325288562433,1.1382198840378326,1.0,0.04408116553822533,1.8349919951538203,0.2078635749985636,0.4427887174028738,0.4550384946414037,0.6731488014019555
"多線路服務, 網路服務",電話服務,0.36300174520069806,0.9061954624781849,0.36300174520069806,1.0,1.1035146846413095,1.0,0.0340512108281632,inf,0.1472602739726027,0.4005777563793933,1.0,0.7002888781896967
多線路服務,"電話服務, 網路服務",0.41579406631762655,0.6732111692844677,0.36300174520069806,0.8730325288562433,1.2968182476594359,1.0,0.08308453563346518,2.5737996336520816,0.3917829393347502,0.49999999999999994,0.6114693673411343,0.7061209306627295
"多線路服務, 電影節目",電話服務,0.21771378708551484,0.9061954624781849,0.21771378708551484,1.0,1.1035146846413095,1.0,0.020422541109679643,inf,0.11991076408254335,0.24025036109773715,1.0,0.6201251805488686
"電話服務, 電影節目",多線路服務,0.34642233856893545,0.41579406631762655,0.21771378708551484,0.6284634760705289,1.511477740979698,1.0,0.07367343426867562,1.5724051231993372,0.5177591498082947,0.3998397435897435,0.36403158114537126,0.5760365648978039
"多線路服務, 電視節目",電話服務,0.21902268760907503,0.9061954624781849,0.21902268760907503,1.0,1.1035146846413095,1.0,0.020545321917954246,inf,0.1201117318435754,0.2416947520462205,1.0,0.6208473760231102
"電話服務, 電視節目",多線路服務,0.34205933682373474,0.41579406631762655,0.21902268760907503,0.6403061224489796,1.5399597404544187,1.0,0.07679644502922373,1.6241753617268821,0.5329240068902111,0.40647773279352223,0.38430293700751383,0.5835318650020344
"網路服務, 技術支援計劃",無限資料下載,0.2905759162303665,0.662303664921466,0.24956369982547993,0.8588588588588588,1.2967750359054706,1.0,0.057114205568195325,2.3926144591734424,0.32259437978995176,0.3548387096774194,0.5820471634425122,0.6178352265308786
"無限資料下載, 技術支援計劃",網路服務,0.24956369982547993,0.7670157068062827,0.24956369982547993,1.0,1.3037542662116042,1.0,0.05814442221064847,inf,0.3104651162790698,0.32536973833902166,1.0,0.6626848691695109
技術支援計劃,"網路服務, 無限資料下載",0.2905759162303665,0.662303664921466,0.24956369982547993,0.8588588588588588,1.2967750359054706,1.0,0.057114205568195325,2.3926144591734424,0.32259437978995176,0.3548387096774194,0.5820471634425122,0.6178352265308786
"電話服務, 技術支援計劃",無限資料下載,0.2486910994764398,0.662303664921466,0.21422338568935428,0.8614035087719298,1.300617155537064,1.0,0.049514359072759334,2.4365431771489168,0.30764208718607405,0.30745147150907953,0.5895824833401333,0.592427709590181
技術支援計劃,"電話服務, 無限資料下載",0.2905759162303665,0.5820244328097731,0.21422338568935428,0.7372372372372372,1.2666774720747733,1.0,0.04510110285719507,1.5906955871353776,0.29676614485085784,0.3253810470510272,0.37134420432959053,0.5526516021268645
"電話服務, 技術支援計劃",網路服務,0.2486910994764398,0.7670157068062827,0.2486910994764398,1.0,1.3037542662116042,1.0,0.05794112003508675,inf,0.3101045296167247,0.3242320819112628,1.0,0.6621160409556314
技術支援計劃,"電話服務, 網路服務",0.2905759162303665,0.6732111692844677,0.2486910994764398,0.8558558558558559,1.2713037081151146,1.0,0.05307214714508926,2.267097513089006,0.30081569236745015,0.3477730323367908,0.5589073719914843,0.6126330478242339
"線上備份服務, 網路服務",無限資料下載,0.3267888307155323,0.662303664921466,0.2805410122164049,0.8584779706275033,1.2961999398407362,1.0,0.06410757197810732,2.3861750469228484,0.33943893507930756,0.39593596059113306,0.5809192618581881,0.6410308166708004
"線上備份服務, 無限資料下載",網路服務,0.2805410122164049,0.7670157068062827,0.2805410122164049,1.0,1.3037542662116042,1.0,0.06536164944308909,inf,0.3238326258338387,0.36575654152445963,1.0,0.6828782707622298
線上備份服務,"網路服務, 無限資料下載",0.3267888307155323,0.662303664921466,0.2805410122164049,0.8584779706275033,1.2961999398407362,1.0,0.06410757197810732,2.3861750469228484,0.33943893507930756,0.39593596059113306,0.5809192618581881,0.6410308166708004
"網路服務, 線上安全服務",無限資料下載,0.2962478184991274,0.662303664921466,0.25654450261780104,0.8659793814432989,1.3075261806772338,1.0,0.06033848670083969,2.51973419250906,0.334204233460278,0.36544437538844,0.6031327419483734,0.6266655800497127
"無限資料下載, 線上安全服務",網路服務,0.25654450261780104,0.7670157068062827,0.25654450261780104,1.0,1.3037542662116042,1.0,0.059770839615142124,inf,0.3133802816901408,0.3344709897610922,1.0,0.6672354948805461
線上安全服務,"網路服務, 無限資料下載",0.2962478184991274,0.662303664921466,0.25654450261780104,0.8659793814432989,1.3075261806772338,1.0,0.06033848670083969,2.51973419250906,0.334204233460278,0.36544437538844,0.6031327419483734,0.6266655800497127
"網路服務, 設備保護計劃",無限資料下載,0.3403141361256545,0.662303664921466,0.29842931937172773,0.8769230769230768,1.3240498631802977,1.0,0.07303801979112412,2.743782722513086,0.3709969367864104,0.4237918215613382,0.6355396541443049,0.6637579811492854
"無限資料下載, 設備保護計劃",網路服務,0.29842931937172773,0.7670157068062827,0.29842931937172773,1.0,1.3037542662116042,1.0,0.06952934404210409,inf,0.33208955223880593,0.3890784982935154,1.0,0.6945392491467577
設備保護計劃,"網路服務, 無限資料下載",0.3403141361256545,0.662303664921466,0.29842931937172773,0.8769230769230768,1.3240498631802977,1.0,0.07303801979112412,2.743782722513086,0.3709969367864104,0.4237918215613382,0.6355396541443049,0.6637579811492854
"網路服務, 電影節目",無限資料下載,0.39048865619546247,0.662303664921466,0.33856893542757416,0.8670391061452514,1.3091262393181267,1.0,0.07994686731906103,2.5398169739099825,0.3874115372410687,0.47403787416004894,0.6062708414533801,0.689119026063403
"無限資料下載, 電影節目",網路服務,0.33856893542757416,0.7670157068062827,0.33856893542757416,1.0,1.3037542662116042,1.0,0.07888124411794267,inf,0.35224274406332456,0.44141069397042093,1.0,0.7207053469852105
電影節目,"網路服務, 無限資料下載",0.39048865619546247,0.662303664921466,0.33856893542757416,0.8670391061452514,1.3091262393181267,1.0,0.07994686731906103,2.5398169739099825,0.3874115372410687,0.47403787416004894,0.6062708414533801,0.689119026063403
"網路服務, 電視節目",無限資料下載,0.38219895287958117,0.662303664921466,0.33507853403141363,0.8767123287671234,1.323731658454708,1.0,0.08194676681012036,2.7390924956369997,0.395855402542373,0.4723247232472324,0.6349155782096211,0.6913205912610321
"無限資料下載, 電視節目",網路服務,0.33507853403141363,0.7670157068062827,0.33507853403141363,1.0,1.3037542662116042,1.0,0.07806803541569585,inf,0.35039370078740156,0.43686006825938567,1.0,0.7184300341296929
電視節目,"網路服務, 無限資料下載",0.38219895287958117,0.662303664921466,0.33507853403141363,0.8767123287671234,1.323731658454708,1.0,0.08194676681012036,2.7390924956369997,0.395855402542373,0.4723247232472324,0.6349155782096211,0.6913205912610321
"電話服務, 網路服務",無限資料下載,0.6732111692844677,0.662303664921466,0.5820244328097731,0.8645495787427091,1.3053673481411656,1.0,0.13615420812660473,2.4931361006037243,0.7158510197504718,0.7724377533294732,0.5988987525559293,0.871668728765294
"電話服務, 無限資料下載",網路服務,0.5820244328097731,0.7670157068062827,0.5820244328097731,1.0,1.3037542662116042,1.0,0.13560255109965919,inf,0.55741127348643,0.7588168373151308,1.0,0.8794084186575655
網路服務,"電話服務, 無限資料下載",0.7670157068062827,0.5820244328097731,0.5820244328097731,0.7588168373151308,1.3037542662116042,1.0,0.13560255109965919,1.7330213375481578,1.0,0.7588168373151308,0.4229730596307723,0.8794084186575655
無限資料下載,"電話服務, 網路服務",0.662303664921466,0.6732111692844677,0.5820244328097731,0.8787878787878788,1.3053673481411654,1.0,0.13615420812660473,2.6960078534031418,0.6927292167869554,0.7724377533294732,0.6290811991746572,0.871668728765294
"網路服務, 音樂節目",無限資料下載,0.3568935427574171,0.662303664921466,0.3106457242582897,0.8704156479217604,1.3142244170202073,1.0,0.07427382290324644,2.605996246172084,0.3717812876374004,0.43842364532019695,0.6162695930706393,0.6697269280452016
"無限資料下載, 音樂節目",網路服務,0.3106457242582897,0.7670157068062827,0.3106457242582897,1.0,1.3037542662116042,1.0,0.07237557449996801,inf,0.3379746835443037,0.4050056882821387,1.0,0.7025028441410694
音樂節目,"網路服務, 無限資料下載",0.3568935427574171,0.662303664921466,0.3106457242582897,0.8704156479217604,1.3142244170202073,1.0,0.07427382290324644,2.605996246172084,0.3717812876374004,0.43842364532019695,0.6162695930706393,0.6697269280452016
"電話服務, 線上備份服務",無限資料下載,0.28664921465968585,0.662303664921466,0.24607329842931938,0.858447488584475,1.2961539155702348,1.0,0.05622447301334943,2.3856612058773865,0.320300605114191,0.3500931098696462,0.580828997203639,0.6149944952803797
線上備份服務,"電話服務, 無限資料下載",0.3267888307155323,0.5820244328097731,0.24607329842931938,0.753004005340454,1.2937670016794007,1.0,0.05587421458354275,1.6922362152728647,0.33728391316538203,0.37129690585911784,0.40906595014647235,0.5878963055188027
"電話服務, 線上安全服務",無限資料下載,0.2547993019197208,0.662303664921466,0.21858638743455497,0.857876712328767,1.295292111105095,1.0,0.04983187595369279,2.3760802371790817,0.3059221136181969,0.31292941911305433,0.5791387915472017,0.5939581190102333
線上安全服務,"電話服務, 無限資料下載",0.2962478184991274,0.5820244328097731,0.21858638743455497,0.7378497790868924,1.2677299052977191,1.0,0.04616291890146773,1.5944124164166515,0.3000892201956904,0.33134920634920634,0.37280970111394307,0.5567059989887235
"無限資料下載, 設備保護計劃",電影節目,0.29842931937172773,0.39048865619546247,0.2037521815008726,0.682748538011696,1.7484465353327456,1.0,0.08721891761008015,1.9212246966004782,0.6101505321358945,0.41996402877697847,0.4794986751058033,0.6022681237544514
"無限資料下載, 電影節目",設備保護計劃,0.33856893542757416,0.3403141361256545,0.2037521815008726,0.6018041237113402,1.7683782712133225,1.0,0.0885323867218552,1.6566868296650228,0.6569242851412203,0.4288337924701561,0.3963856161021109,0.6002610362146444
"設備保護計劃, 電影節目",無限資料下載,0.231239092495637,0.662303664921466,0.2037521815008726,0.881132075471698,1.3304049518979788,1.0,0.050601683067898334,2.8409374220892527,0.32305123387624035,0.2953826691967109,0.6480035103115399,0.5943868546001442
"電話服務, 設備保護計劃",無限資料下載,0.29450261780104714,0.662303664921466,0.25741710296684117,0.874074074074074,1.3197482067047284,1.0,0.06236693986824188,2.6817061903295336,0.3434168736832173,0.3680598877105427,0.6271030720643122,0.631371687893427
設備保護計劃,"電話服務, 無限資料下載",0.3403141361256545,0.5820244328097731,0.25741710296684117,0.7564102564102563,1.299619421058701,1.0,0.05934596091115921,1.7158996968861937,0.3494753833736884,0.38713910761154857,0.41721535249718933,0.5993445584899857
"無限資料下載, 電視節目",電影節目,0.33507853403141363,0.39048865619546247,0.2412739965095986,0.7200520833333333,1.8439769553072625,1.0,0.11042963003572637,2.177231218799464,0.6883427546240265,0.49819819819819816,0.5407010558339297,0.6689645891527002
"無限資料下載, 電影節目",電視節目,0.33856893542757416,0.38219895287958117,0.2412739965095986,0.7126288659793815,1.8645494986583815,1.0,0.11187330391162523,2.1498368276477358,0.7010215328240778,0.5031847133757962,0.5348484186615412,0.6719537023960834
"電視節目, 電影節目",無限資料下載,0.27705061082024435,0.662303664921466,0.2412739965095986,0.8708661417322834,1.3149046092558587,1.0,0.057782361594620024,2.6150874728642557,0.3312660083093152,0.34562499999999996,0.6176036135018004,0.6175806334484869
電視節目,"無限資料下載, 電影節目",0.38219895287958117,0.33856893542757416,0.2412739965095986,0.6312785388127854,1.8645494986583817,1.0,0.11187330391162523,1.7938501937010682,0.7505287032212584,0.5031847133757962,0.44253984891748294,0.6719537023960834
電影節目,"無限資料下載, 電視節目",0.39048865619546247,0.33507853403141363,0.2412739965095986,0.6178770949720671,1.8439769553072627,1.0,0.11042963003572637,1.7400722574324121,0.7509193686807561,0.49819819819819816,0.4253112215721639,0.6689645891527002
"電話服務, 電影節目",無限資料下載,0.34642233856893545,0.662303664921466,0.2988656195462478,0.86272040302267,1.3026055097022131,1.0,0.06942883510137693,2.4599164224986776,0.35544034381608547,0.42102028272894887,0.5934821236795342,0.6569860249632453
電影節目,"電話服務, 無限資料下載",0.39048865619546247,0.5820244328097731,0.2988656195462478,0.76536312849162,1.3150017170185855,1.0,0.07159168090543325,1.781372060167871,0.3930110925915281,0.4436528497409326,0.4386349587711828,0.6394281909324666
"無限資料下載, 電影節目",音樂節目,0.33856893542757416,0.3568935427574171,0.299738219895288,0.8853092783505155,2.4805976356716157,1.0,0.17890515306293386,5.6073102339353325,0.9023938734046926,0.7574421168687985,0.8216613744771926,0.862581289542006
"無限資料下載, 音樂節目",電影節目,0.3106457242582897,0.39048865619546247,0.299738219895288,0.9648876404494383,2.4709748289498465,1.0,0.17843458847680227,17.358883071553283,0.8635638346875979,0.7467391304347827,0.942392606950689,0.8662427029062835
"電影節目, 音樂節目",無限資料下載,0.34336823734729494,0.662303664921466,0.299738219895288,0.8729351969504449,1.3180286372927665,1.0,0.07232417788255077,2.6576701570680656,0.367467974292388,0.4245982694684796,0.6237305832175964,0.6627521834554596
電影節目,"無限資料下載, 音樂節目",0.39048865619546247,0.3106457242582897,0.299738219895288,0.7675977653631286,2.470974828949847,1.0,0.17843458847680227,2.9662119076386113,0.9766863699401609,0.7467391304347827,0.6628696697546144,0.8662427029062835
音樂節目,"無限資料下載, 電影節目",0.3568935427574171,0.33856893542757416,0.299738219895288,0.8398533007334964,2.4805976356716157,1.0,0.17890515306293386,4.130157334505684,0.928106588929114,0.7574421168687985,0.757878473140616,0.862581289542006
"電話服務, 電視節目",無限資料下載,0.34205933682373474,0.662303664921466,0.29930191972076786,0.8749999999999999,1.3211462450592883,1.0,0.0727547673218022,2.70157068062827,0.36945812807881767,0.4245049504950494,0.6298449612403098,0.6634552042160737
電視節目,"電話服務, 無限資料下載",0.38219895287958117,0.5820244328097731,0.29930191972076786,0.7831050228310501,1.3454847918506498,1.0,0.07685279095054043,1.9270873518875713,0.4156248455798783,0.45013123359580043,0.48108216318242886,0.6486739506958848
"無限資料下載, 電視節目",音樂節目,0.33507853403141363,0.3568935427574171,0.2164048865619546,0.6458333333333333,1.8095965770171147,1.0,0.09681752144952166,1.8158299969202336,0.6728473456946914,0.45504587155963305,0.44928765264586157,0.626095150774246
"無限資料下載, 音樂節目",電視節目,0.3106457242582897,0.38219895287958117,0.2164048865619546,0.6966292134831461,1.8226873941819302,1.0,0.09767641603391719,2.0364553034710107,0.6547570436913025,0.45421245421245415,0.5089506760617026,0.6314196295726233
"電視節目, 音樂節目",無限資料下載,0.24738219895287958,0.662303664921466,0.2164048865619546,0.8747795414462081,1.3208133787843932,1.0,0.05256274955913123,2.6968143942187144,0.32272791023842917,0.3121460037759597,0.62919213048412,0.600762629748137
音樂節目,"無限資料下載, 電視節目",0.3568935427574171,0.33507853403141363,0.2164048865619546,0.6063569682151589,1.809596577017115,1.0,0.09681752144952166,1.689148320379825,0.6956712040968179,0.45504587155963305,0.40798567660705004,0.626095150774246
"電話服務, 音樂節目",無限資料下載,0.3136998254799302,0.662303664921466,0.27137870855148344,0.8650904033379695,1.30618392915061,1.0,0.0636141644509014,2.503130566200682,0.3415575946999508,0.38513931888544894,0.6005002641480957,0.6374200369786027
音樂節目,"電話服務, 無限資料下載",0.3568935427574171,0.5820244328097731,0.27137870855148344,0.7603911980440099,1.3064592398177441,1.0,0.06365794675462724,1.7444082344979885,0.3647488951035528,0.40653594771241836,0.4267396930238734,0.6133290323053633
"電話服務, 線上備份服務",網路服務,0.28664921465968585,0.7670157068062827,0.28664921465968585,1.0,1.3037542662116042,1.0,0.06678476467202105,inf,0.3266055045871559,0.3737201365187713,1.0,0.6868600682593856
線上備份服務,"電話服務, 網路服務",0.3267888307155323,0.6732111692844677,0.28664921465968585,0.87716955941255,1.3029634673840342,1.0,0.06665132382457839,2.660487328325366,0.34538757544998716,0.40183486238532107,0.62412901224775,0.6514817336920171
"電話服務, 線上安全服務",網路服務,0.2547993019197208,0.7670157068062827,0.2547993019197208,1.0,1.3037542662116042,1.0,0.05936423526401871,inf,0.3126463700234192,0.3321956769055745,1.0,0.6660978384527872
線上安全服務,"電話服務, 網路服務",0.2962478184991274,0.6732111692844677,0.2547993019197208,0.8600883652430045,1.277590753815273,1.0,0.05536196162995047,2.335680169008911,0.3087404139313286,0.3565323565323566,0.5718591897689803,0.6192859194977174
"網路服務, 設備保護計劃",電影節目,0.3403141361256545,0.39048865619546247,0.231239092495637,0.6794871794871795,1.7400945423291794,1.0,0.0983502827956105,1.9016753926701573,0.6447289607666967,0.4628820960698691,0.47414789934474977,0.6358329752184502
"設備保護計劃, 電影節目",網路服務,0.231239092495637,0.7670157068062827,0.231239092495637,1.0,1.3037542662116042,1.0,0.053875076523852594,inf,0.3030646992054483,0.3014789533560865,1.0,0.6507394766780432
設備保護計劃,"網路服務, 電影節目",0.3403141361256545,0.39048865619546247,0.231239092495637,0.6794871794871795,1.7400945423291794,1.0,0.0983502827956105,1.9016753926701573,0.6447289607666967,0.4628820960698691,0.47414789934474977,0.6358329752184502
"網路服務, 設備保護計劃",電視節目,0.3403141361256545,0.38219895287958117,0.2238219895287958,0.6576923076923077,1.7208113804004215,1.0,0.09375428305145142,1.8048120477675156,0.634967047247749,0.4488188976377953,0.4459256844850065,0.6216543730242361
"設備保護計劃, 電視節目",網路服務,0.2238219895287958,0.7670157068062827,0.2238219895287958,1.0,1.3037542662116042,1.0,0.05214700803157807,inf,0.30016863406408084,0.29180887372013653,1.0,0.6459044368600683
設備保護計劃,"網路服務, 電視節目",0.3403141361256545,0.38219895287958117,0.2238219895287958,0.6576923076923077,1.7208113804004215,1.0,0.09375428305145142,1.8048120477675156,0.634967047247749,0.4488188976377953,0.4459256844850065,0.6216543730242361
"電話服務, 設備保護計劃",網路服務,0.29450261780104714,0.7670157068062827,0.29450261780104714,1.0,1.3037542662116042,1.0,0.06861448425207642,inf,0.3302411873840445,0.38395904436860073,1.0,0.6919795221843004
設備保護計劃,"電話服務, 網路服務",0.3403141361256545,0.6732111692844677,0.29450261780104714,0.8653846153846154,1.285457899197368,1.0,0.06539934029586178,2.4275741710296694,0.33662551440329225,0.40958737864077677,0.5880661394680088,0.6514220549379331
"網路服務, 設備保護計劃",音樂節目,0.3403141361256545,0.3568935427574171,0.2094240837696335,0.6153846153846153,1.7242806093661838,1.0,0.08796816607731879,1.672076788830715,0.6367394179894181,0.4293381037567084,0.4019413422398496,0.6010908406996427
"設備保護計劃, 音樂節目",網路服務,0.2094240837696335,0.7670157068062827,0.2094240837696335,1.0,1.3037542662116042,1.0,0.04879252213480989,inf,0.29470198675496684,0.27303754266211605,1.0,0.636518771331058
設備保護計劃,"網路服務, 音樂節目",0.3403141361256545,0.3568935427574171,0.2094240837696335,0.6153846153846153,1.7242806093661838,1.0,0.08796816607731879,1.672076788830715,0.6367394179894181,0.4293381037567084,0.4019413422398496,0.6010908406996427
"網路服務, 電視節目",電影節目,0.38219895287958117,0.39048865619546247,0.27705061082024435,0.7248858447488584,1.8563557052116018,1.0,0.12780625531098383,2.215485216484543,0.7466969171226479,0.5589788732394366,0.5486316078485207,0.7171915257263846
"網路服務, 電影節目",電視節目,0.39048865619546247,0.38219895287958117,0.27705061082024435,0.7094972067039107,1.856355705211602,1.0,0.12780625531098383,2.1266612968183654,0.7568524227957548,0.5589788732394366,0.5297793769529402,0.7171915257263846
